#	id	l	t	r	b	tex
20000	0	0	32	32	30
20001	32	0	64	32	30
20002	64	0	96	32	30
20003	96	0	128	32	30
20004	128	0	160	32	30
20005	160	0	192	32	30
20006	0	32	32	64	30
20007	32	32	64	64	30
20008	64	32	96	64	30
20009	96	32	128	64	30
20010	128	32	160	64	30
20011	160	32	192	64	30
20012	0	64	32	96	30
20013	32	64	64	96	30
20014	64	64	96	96	30
20015	96	64	128	96	30
20016	128	64	160	96	30
20017	160	64	192	96	30
20018	0	96	32	128	30
20019	32	96	64	128	30
20020	64	96	96	128	30
20021	96	96	128	128	30
20022	128	96	160	128	30
